company,summary,title
Silicon Valley Bank,"Knowledge of public cloud (AWS, GCP or Azure).,You will partner with and enable business app developers to design, develop and publish their APIs and…",Sr. API Portal Developer
Systel,"Bachelors degree in Engineering with more than 10 years experience in Java technologies.,Very Strong experience inWebSphereApplication Server (including admin…","Java Developer (WebSphere, MQ Series)"
Softvision - North America,"To be successful in this role, it is important that you have a deep knowledge of various cloud infrastructure hardware and , such as Openstack, AWS, GCP…",Sr. Full-stack Java Developer
"Amazon Web Services, Inc.","You will help hire and lead a team of SAs, and must have great people management, mentoring, and hiring skills.",EDU Solutions Architect Manager
MUFG,"While transitioning the bank from a traditional, batch-oriented ecosystem to a real time deposit services platform by redesigning or replacing monolithic legacy…",DevSecOps Engineer
Raytheon Missiles & Defense,"An existing DoD secret clearance, or the ability to obtain a DoD secret clearance.,The , Configuration Management Department provides innovative…",Sr Software Configuration Management Engineer II
Silicon Valley Bank,"An ideal candidate will have at least 5+ years of experience building and managing the API platform (APIGEE) on-prem, AWS cloud, CMS (Drupal), PHP, Mysql,…",Sr. API Platform SRE
Hot Shot Staffing,"Collaborate with mechanical design , and process , to design , architecture and control algorithms.,Travel overseas 10-20% as necessary.",SR Automation Systems Engineer
Deloitte,"A current government security clearance, or the ability to hold a clearance is required.,You will perform day-to-day support and maintenance, work with the…",ServiceNow Developer - Solution Analyst - USDC
Amazon.com Services LLC,"Direct experience in , engineering and maintenance of large distributed systems.,Exceptional customer relationship skills including the ability to…",Senior Software Development Manager
Iridium,"Minimum 5 years of , development experience with progressive responsibilities and strong programming skills in Unix, C, C++, SQL and Perl required.",Oracle BRM Developer III
F&B MFG LLC,"Computer skills should include proficiency with Solidworks or similar CAD , and MS Office products.,Support the development of new CNC programs (3-axis,…",CNC Programmer / Tool Designer
Bank of the West,"Develop , policies, standards and procedures.,Conduct complex quality control tests and analyses to ensure that , meets or exceeds specified…",Senior Python/Java Engineer
Ticketmaster,"Collaborate with developer advocates on improving developer experience.,We offer comprehensive health benefits, 401k matching and student loan assistance, plus…",Engineer III - Site Reliability
SiteLock,"Minimum of 5 years’ experience in , design and implementation; experience leading large projects, mentoring staff, and creating problem-solving…",Full Stack Web Developer
KPMG,"Proven competency in serverless applications, cloud services, and cloud security with public cloud providers such as Azure, AWS, Google Cloud Platform, Pivotal…","Senior Associate, Cloud Native Development"
SwitchThink Solutions LLC,"Solid grasp of object-oriented programming concepts and standard methodologies (SOLID principles, etc) and their use in client-side web applications, interfaces…",Web Applications Developer III
Net Orbit,"“Senior Dot Net Developer” with Bachelor’s degree in Computer Science, Engineering any, Technology or related and 5 yrs of exp.",Senior Dot net Developer
"Amazon Web Services, Inc.","Net, C++ or similar object oriented language.,Experience with the full , development lifecycle and delivery using Agile practices.",DevOps Consultant - Nationwide Opportunities
Iridium,"Participate fully in Agile Scrum team’s development cycle.,Team-oriented mentality and experience working as part of a team to achieve complex goals.",Pricing Developer II
General Motors,"You will coach/mentor , developers and will review the , being developed.,In this , development role, you will be responsible for…",Senior UI Developer
Infosys Limited,"At least 2 years of experience in , development life cycle.,Will also consider three years of progressive experience in the specialty in lieu of every…",Senior Java Developer
Slalom Consulting,"4+ years project experience migrating and deploying cloud based solutions (Azure, AWS, GCP).,Create innovative solutions leveraging cloud platforms to solve…",DevOps Consultant
MUFG,"Self-sufficient in dev and test with containers and/or cloud services for prototyping upstream systems.,Good understanding of modern, cloud-native application…",Development Team Lead
Sciata,"8+ years IT experience with java programming needed.,Excellent oral and written communication skills; Must be a critical thinker and solutions-oriented.",Sr. Java Developer
Deloitte,"5 years’ experience as a , developer focused on security architecture.,Full stack security , developer.,Experience mentoring and coaching others.",Lead Software DevOps Security Engineer
Sky Republic,"Apply , development best practices such as unit testing, code review, test automation and continuous delivery to produce high quality software.",Back-End Development Engineers
"Sandhills Global, Inc.","Strong knowledge of the full , development life cycle, with exposure to agile or iterative approaches to delivery preferred.,Web/API development in the .",Android Developer
Charles Schwab Inc.,"Lead day-to-day activities and influence team members to continually enhance agile , development practices.,Develop resourcing strategies and budgets.","Senior Manager, Software Development & Engineering"
Deloitte,"CBO has four different offerings — Systems Engineering focused on design, delivery and support of large scale , applications and integrated systems;…",Java Development (Full Stack) - Consultant
Fox Corporation,"5 years experience in , development (Python, Java, Go, .Net).,Building and distributing , libraries/SDKs.,Mentor less senior members of the team.",Senior Site Reliability Engineer - Fox Technology
Raytheon Missiles & Defense,"Experience working in a DoD embedded , environment.,Applying expertise in , development for embedded multi-processor systems.",Real Time Embedded Principal Software Engineer
Deloitte,"A current government security clearance, or the ability to hold a clearance is required.,You will perform day-to-day support and maintenance, work with the…",ServiceNow Developer - Solution Specialist - USDC
Wells Fargo,"5 + years of experience troubleshooting environments across the entire architecture (i.e. applications to infrastructure).,5+ years of DevOps experience.",System Support Consultant 6 (Jenkins)
Banner Health,"Serves a project manager or project leader for information security projects, including the development of project scope requirements, budgeting, and project…",Cybersecurity Sailpoint Engineer III
Early Warning Services,"Familiar with source control management and how they are used in delivery (Git/BitBucket/SVN).,Hybrid cloud experience (on-prem & AWS).",Sr. DevOps Engineer (Ansible/Kubernetes/Terraform)
ClassicInfo Solutions,"5-8 years of experience in Unix Shell scripting and Perl scripting (Nice to have).,5+ years of data analytics work-related experience in financial area.",Senior Oracle Developer/DBA
Albertsons Companies,"Design, develop, and release fully automated, cloud-based services within Azure, OCI, private cloud.,Enhancing and maintaining hybrid cloud solution, which…",Cloud Infrastructure Developer
People Technology and Processes LLC,"5 years’ experience in Information Technology as a program/project manager.,The position requires the ability to provide technical, administrative, and…","Change, Configuration, and Release Manager"
Early Warning Services,"Familiar with source control management and how they are used in delivery (Git/BitBucket/SVN).,The position will lead the engineering and administration of…",Sr. DevOps Engineer - AppDynamics
Intertec International,"3 to 5 years' experience in the industry in similar role.,Demonstrated experience across multiple IT technology domains including , development languages…",Salesforce Developer
Deloitte,"CBO has four different offerings — Systems Engineering focused on design, delivery and support of large scale , applications and integrated systems;…",Systems Engineering .NET Developer - Consultant
ICR inc.,"Experience with distributed , version control systems and continuous integration, such as git.,Experience with hardware and , reverse engineering.",FPGA Engineer with DSP Emphasis
Tech Data Corporation,"Willingness to learn new cloud-based technologies and apply , development experience to cloud enabled solutions.,Excellent core Java skills a must.",Developer Systems Integration IV
Wells Fargo,"This role is critical in the defining, developing, and launching the operational support model for the Enterprise API Gateway, Enterprise API Marketplace, and…",Enterprise API Platform Support Engineer (Systems Support Analyst 5)
"Marsh & McLennan Companies, Inc.","Must have five (5) years of progressively responsible experience with: Measuring velocity and effectiveness of Scrum team; managing , and system level…","Scrum Master (Marsh USA Inc. – Phoenix, AZ) - EXTERNAL"
Arizona Supreme Court,"Additionally, the ability to program Web applications in .net environment, ability to quickly and effectively analyze problems, implement and/or advise of…",.Net Developer – Specialist VI (Job 2329)
Infosys Limited,"Will also consider three years of progressive experience in the specialty in lieu of every year of education.,This position will interface with key stakeholders…",Senior Android Developer
Fasetto,"8+ years experience in embedded , development.,Must understand common protocols for communication with hardware and other , modules.",Mobile System Architect
Deckers Brands,"Perform routine network startup and shutdown procedures and maintain control/log records.,Maintain and administer E-Commerce system , and related…","Systems Administrator I, E-Commerce"
CVS Health,"O Effective written and oral communication skills.,Data visualization skills using Tableau or a similar package.,Participate in design reviews and testing.",Robotic Process Automation (RPA) Developer
Meritage Homes Corporation,"Minimum 3 years of experience with , development.,The ideal candidate has strong experience working within an agile development environment as well as…",Developer III - Marketing Automation
Early Warning Services,"Full understanding of computer science , development concepts such as modular and object oriented programming, design patterns and , testing.",Automation Security Architect II
Infosys Limited,Deep understanding of multithreading concepts with experience of developing robust and scalable distributed server side applications and algorithms.,Senior Developer Java Apache and Camel
SugarCRM,"Understanding of how to architect and implement highly available, scalable, and secure network in multiple cloud environments.,Extensive knowledge of TCP/IP.","Site Reliability Engineer PHOENIX, AZENG – OPERATIONS"
REPAY,"We build great , that enables businesses to move faster by removing friction in payments processing by offering a comprehensive line of electronic…",Senior Site Reliability Engineer (DevOps)
Universal Electronics,"Our products use our own ARM+2.4GHz radio SOCs, mixed-signal embedded system designs, PCB layouts, antenna designs, embedded firmware, application , and…",Senior Staff Electrical Engineer
Raytheon Missiles & Defense,"Experience working in a DoD embedded , environment.,Applying expertise in , development for embedded multi-processor systems.",Real Time Embedded Sr Principal Software Engineer
Garmin,"In addition, Garmin’s financial benefits include a generous 401K retirement plan that provides 5% of pay base contribution plus a match of 75 cents for every…","Full Stack Web Developer (.NET) - Scottsdale, AZ"
Eagle Creek ,"Participate in pre-sales efforts and strategic project planning.,Ability to travel for initial project set-up and major milestones as required.",Senior Salesforce Developer - Remote
"CGI Group, Inc.","Be responsive to the business, colleagues, vendors and management.,10+ Years of experience in Information Technology, 5 years in a senior infrastructure role.",Senior Cloud DevOps Engineer
Silicon Valley Bank,"Understanding of object-oriented programming to include but not limited to: PHP, NodeJS, , java, JavaScript.,Implements API management solutions using Apigee to…",Senior API Platform Architect/Developer
Deloitte,"The full stack developer works on a product development team alongside other developers, data scientists, QA ,, UI/UX designers, and product managers to…",Full-Stack Developer - Senior Solution Specialist - USDC
Garmin,"In addition, Garmin’s financial benefits include a generous 401K retirement plan that provides 5% of pay base contribution plus a match of 75 cents for every…",Cloud Integration Developer (Full Stack Developer)
Deloitte,"Develop solutions to client problems via use of methodologies and , application tools.,Experience with hardware configuration definitions (HCD) in a…",Core Business Operations – Solution Specialist – Mainframe z/OS Systems Programmer
Eagle Creek ,"Proven experience in overseeing the technical direction, development, and implementation of SFDC , solutions.",Salesforce Lead Developer/Tech lead - Remote
Deloitte,"Plan, manage, and lead project teams to deliver solutions in accordance to service level agreements.,Analyze requirements and recommend , and hardware…",Core Business Operations – Solution Manager – Mainframe z/OS System Programmer
MUFG,"Developing automation with python, bash, java, powershell or related technology.,While transitioning the bank from a traditional ecosystem to a real-time…",IT Release Manager
Deloitte,"We provide operational know-how, digital technologies, advanced analytics, and industry-specific hybrid solutions to deliver unprecedented client value.",Siemens Teamcenter – Specialist Master
Infosys Limited,"Experience in , development life cycle.,This position’s primary responsibility will be to provide technical expertise and coordinate for day to day…",Lead Java Developer
Silicon Valley Bank,"Senior Process , will be responsible for designing, developing and improving end to end project, program delivery processes for Agile and software…",Agile Transformation Process Manager
Deloitte,"Manage project execution by defining the work-breakdown structure in accordance with the master project plan and track the progress.,NET Web API, MS SQL.",Systems Engineering .NET Developer - Senior Consultant
Infosys Limited,"Experience in , development life cycle.,The role will require strong attention to detail with the ability to identify errors and make adjustments in a…",Java Full Stack Developer
Deloitte,Manage project execution by defining the work-breakdown structure in accordance with the master project plan and track the progress.,Java Development (Full Stack) - Senior Consultant
Matrix Resources,"Developing automation with python, bash, java, powershell or similar languages.,Deliver high quality products as part of a cross-functional team including…",Software Development Engineer in Test (SDET)
Deloitte,"A current government security clearance, or the ability to hold a clearance is required.,You will perform day-to-day support and maintenance, work with the…",ServiceNow Developer - Senior Solution Specialist - USDC
Bear Group,"Bachelor’s degree in Computer Science, , Engineering, UX or related fields, plus a minimum of 5 years of related work experience.",Sr. Front-end Developer & Team Lead
"Amazon Web Services, Inc.","Net, C++ or similar object oriented language.,Experience leading the certification or accreditation of cloud workload(s) to meet industry standards such as PCI…",Senior Consultant - DevOps - Nationwide Opportunities
Wells Fargo,"The , will leverage experience as , , and systems engineers/administrators to work closely with CTO Teams including Architecture, Cloud,…",Senior Site Reliability Engineer (SRE) (Apps Systems Engineer 6)
Early Warning Services,"Minimum 5 years work experience in a medium to large scale enterprise.,3 years of lead experience, leading 5-6 team members.,Strong mentor for new team members.","Team Lead, DevOps"
MUFG,"The successful candidate will be responsible to support the systems integrations and application developments activities associated with the CBT project,…",Core Banking Transformation - FIS Platform Technology Lead
MUFG,"Maintain metrics and supporting analytics to measure CSP performance.,Drive innovation by working with senior leadership on new technologies, tools and ideas to…",AWS/Computer Engineering Operations Director
Matrix Resources,"Participate in , design discussions and code reviews.,5 years of development experience with C#, .,Advanced understanding of object oriented programming…",.Net Developer
Zxerex,"Experience developing client-side GUIs including simple animations and hardware controls via API.,Our revolutionary technology couples the principles of…",Software Engineer
Brickred,"Working knowledge of Source control management (Git/BitBucket/SVN).,Design and implement , and tools to improve the performance - availability,…",SRE Engineer
Volteo,"Machine Learning Algorithms in the cloud and on edge devices.,When we move to the next step, we'll have a brief online coding test to make sure we're in the…",IoT Software Engineer
U-Haul,"2+ years of experience developing , using our technology stack: MVC, Knockout, CSS, jQuery, JavaScript, Web API, WCF, Entity Framework, HTML 5, ASP.",Software Developer
Nextiva,"3+ years of , development experience.,Is familiar with ES6 and future ES features.,2+ years professional experience working with React and Redux.",Software Engineer - React
Aira,"We are hiring a , developer with experience developing PC and Mac OSX based , tools that interface with hardware products.",Software Developer
BDATech,"BDATech is a very fast paced design and manufacturing company that requires flexibility and reliability in every employee.,BS or MS in , Engineering.",Software Engineer
Matrix Resources,"Develops , policies, standards and procedures.,Leads , design services typically in a defined highly complex project(s).",Senior Python/ J2EE Engineer
Atlis Motor Vehicles,"You’ll own , development of our vehicle’s brain.,Software systems capable of running on small embedded OS and non-OS based systems.",Software Engineer - Vehicle Brain
Axosoft,"Understanding of Database Development: As a full-stack , ,, you might be expected to interface with a database system such as MongoDB or SQL…",Software Engineer
Attainia Inc.,"Application of systems analysis techniques and procedures including consulting with users to determine hardware, , or systems functional specifications.",DevOps Engineer
Data Sys It inc,"Should have very strong experience in OOPS.,Strong experience with Java RX & Java 8.,Strong experience with REST & Spring.,Java 8: 1 year (Preferred).",Java Developer
Privo,"Alternatively, healthy exposure to general server administration (Windows, Active Directory, Linux, DNS, etc.) is great!,Experience on a service desk.",DevOps Engineer
Optimum Technologies,"Work with operations teams to troubleshoot and resolve issues throughout the life cycle, coordinating , engineers’ activities as required.",Software Engineer
SmartRent,"Knowledge of professional , engineering practices and best practices for the full , development life cycle, including coding standards, code…",Software Development Engineer
A Better Today Recovery Services LLC,"Website and , application designing, building, or maintaining.,Proficient in MySQL or similar database management systems.",Jr. Web Developer
Vanlo,"2+ years of professional , development experience.,Build new features and products for the Vanlo.,Optimize and build back-end services for performance…",Junior Software Engineer
Core ,,Junior Java J2EE Engineer
Matrix Resources,"Strong Skills implementing UI design using HTML 5, CSS 3, react, JavaScript, consuming JSON web-services and AJAX.,2+ years of experience with JavaScript ES6.",React (Native) Developer
Infotree Service Inc,"Focus on development of hardware and , IIfe cycle.,Coordinated efforts with other developers, planned high Ievel architecture for solutions, coded…","Programmer/Developer/Software Engineer/C# , SQL"
Nextiva,"Strong oral and written communications skills with Ability to prioritize tasks and efficiently manage time is required.,Identify and track system defects.",Automation Engineer
Calero-MDSL,"5+ years’ experience as a , engineer.,Good oral and written communication skills.,The , , develops broad knowledge and skills in software…",Software Engineer
Barron Lighting Group I,"Mid-level full stack .net developer with 2+ years of experience concentrating on front end skills.,Design hardware to support new software.",Software Development Engineer
AUV LLC,The incumbent is expected to adhere to supervised development processes and to maintain a high standard of professional accountability to colleagues.,Software Development Engineer I
Matrix Resources,"Lead by example and help other , with their projects e.g. outline and architect out big problems.,Help , grow their skills and experiences.",Mobile Application Development Manager
Perito Systems Inc,"MUST HAVE STRONG Python and java.,Python and java: 6 years (Preferred).,Mid - senior developer, at least 4-5 years exp in this space is ideal.",Senior Software Engineer
Connexta,"Working in an Agile/Scrum environment to deliver high quality software.,Write well designed, testable efficient code in modern Object Oriented , language…",Software Engineer
Youth Power Technosoft LLC,"Java 8: 4 years (Preferred).,\* Should have very strong experience in OOPS.,Client is looking for Core Java Developer with strong experience on Java8 (Java 1.8)…",Java Backend Developer
"OPENTECH ALLIANCE, INC.","Experience with source control and version control tools (TFS, Git, etc.).,Detail-oriented and highly organized with the ability to handle multiple-tasks…",Software Engineer
Modulus,"Requires at least four years of front-end development experience with JavaScript, React, React Native, RESTful APIs, WebSocket, and web UI/UX design.",Front End Software Developer
"Avirtek, Inc.","As a member of the Avirtek , development team, the , will be responsible for developing new technology for an advanced AI-supported cyber…",Software Engineer
Nextiva,"3+ years of professional , development experience.,Collaborating with analysts and QA automation engineers.,Experience working with Redis, RabbitMQ.",Java Engineer
The French Agency,"Experience with source control and version control tools such as TFS, GIT, etc.,Ongoing updates and redevelopment of our current software.",.Net Software Engineer
AspireIQ,"Have familiarity with analytics products, CRM products, social media and/or marketing technology.,As a Senior , ,, you'll report directly to our…",Senior Software Engineer
Infotree Service Inc,"Infragistics WPF controls, MS Office Interoperability: 3-5 yrs, or experience using other WPF control libraries.,Microsoft Prism: 3-5 yrs experience.",WPF/WCF/C#/.Net Software Engineer
Atlis Motor Vehicles,"Write , level requirements to meet system expectations.,Programming embedded devices to meet requirements.,Ideally, you have experience with:","Firmware Engineer, Drive Train"
Ambra Health,"3-5 years of Linux-based system administration.,Experience with Git or similar SCM.,Experienced in estimating effort and elapsed time required to complete…",Dev Ops Engineer
Limelight Networks,"As part of the Content Delivery , development team, the , , will assist in all aspects of the , development life-cycle.",Software Engineer
Atlis Motor Vehicles,"Programming embedded devices to meet requirements.,Understanding and ability to develop , systems capable of running on small embedded OS and non-OS…","Firmware Engineer, Vehicle Battery System"
ApproveMe.com,"Collaborating in an agile development team, made up of a product manager, project manager, technical lead, back-end developer and UI/UX developer all working…",Front-End React JS Developer (Remote)
Insero,"Experience building high-availability solutions.,Exceptional troubleshooting and analytical abilities.,Desire to learn and lead.",Microservice/Front-end Engineer
"CREXENDO, INC.","Crexendo is comprised of industry-leading engineering, sales, marketing and support professionals that combine left-brain logic with right-brain creativity to…",Sr. Software Engineer / Backend
U-Haul,"4+ years of experience developing , using our technology stack: C#, MVC, SQL, Entity Framework, HTML 5, CSS, Angular, Web API, jQuery, ASP.",Senior Software Developer
Savvas Learning Company,"Min. Requirements: Bachelor’s degree in Computer Science, Computer Engineering, or related field, or foreign equivalent and 5 years of experience as a Software…",Sr. Software Development Engineer in Test
Cerebrum,"Relevant , development: 5 years (Preferred).,PHP , development: 6 years (Required).,Cerebrum offers benefits + stock option plan.",Software Engineer
Systechcorp Inc,"Java 8+, Spring boot, APIs, Vert.x, GraphQL*.,Job Types: Full-time, Contract.",Java Engineer with Vert.x & GraphQL
"RevolutionParts, Inc.","Paid Holidays, 11 of them every year.,You’ll design and implement your features to be scalable and resilient.,Understanding of databases, relational or NOSQL.",Software Engineer
Binary tech consulting corp,"Candidate should have extensive hands on experience more than 5 years on big data technologies, Hadoop, Map Reduce, Spark and Hive.",Hadoop Developer
SunsoftOnline LLC,"Has knowledge of version control and configuration management practices for large projects.,Has personally been responsible for branching and merging project…",Java Software Engineer/Sr
Cyracom International Inc,"Have a firm understanding of , development methods.,Maintain and document , quality by reviewing code and testing suite generation.",Jr. Software Developer
Data Sys It inc,"VM management for ACL/Certificates/ various , management(like Splunk).,Someone with lot of Amex experience is highly preferred..",Senior DevOps Engineer
Expedient,"Experience with distributed version control systems such as Git and related tools such as Github and GitLab.,Increase the quality and scalability of Expedient’s…",Automation Engineer DevOps
Kogni,"Designs, develops and directs , system testing procedures, programming, and documentation.,Analyzes , requirements to determine feasibility of…",Software Engineer
"CREXENDO, INC.","Prefer candidates with experience in: SIP, session initiation protocol, VOIP, BLF, busy lamp field, MWI, message-waiting indicator, freeswitch, opensips,…",Software Test Engineer
Youtech,"Software development: 1 year (Preferred).,Positive attitude, attention to detail, and a customer-oriented approach with multi-tasking and organizational ability…",Full Stack Developer
2U,"You are always driving for great quality, but you also know when to ""go pencils down"" and ship a product, working iteratively to continue to improve based on…","Curriculum Engineer, Web Development Bootcamp"
NextGenVision Technology,Strong Java and Angular (4+) skill Must be hands-on with large Web project in past Should be able to Delivery independently and with team Hands-on expertise on…,Java-Angular-Full Stack
"OnePoint Patient Care, LLC","Develop interfaces for patient demographic and medical information transfer between EMRs and clinical applications.,.Net Development (C# experience required).",Software Engineer - Senior
Callibus Inc,"Spring MVC, Spring boot application development.",Java Developer
Skyhook Interactive,"We use Advanced Custom Fields & Gravity Forms on nearly every project, so familiarity with those is a plus.,10 or more custom WordPress website builds or 5-10…",WordPress Developer
"Barrett-Jackson Auction Co, LLC","Develops , specifications/visualizations to show how developed , interacts with 3rd party , (API’s), internal systems ,, external…",Software Engineer
Henri Home,"A true passion for , design, experience, and usability.,2+ years of Senior React Native developer experience and deep understanding of REST API's …",Senior Software Engineer - React Native
La Jolla Logic,"LJL has a reputation for performance to the highest standard, specializing in high-end cybersecurity engineering solutions, to include Machine Learning…",Security Software Engineer
SimuLogix,"Launch Vehicle GN&C: 5 years (Required).,Mid-Level Cleared Guidance, Navigation and Controls (GN&C) Systems/Simulation , with , development…",Control Systems/Software/Simulation Engineer (Aero)
BrandLync,"Good understanding of client-side scripting and JavaScript frameworks, including jQuery.,You’ll have a team to support you but you should be able to design most…",Full Stack Web Developer
Zenaide,"Looking for 5+ years in IT.,Experienced as a Appian Developers preferred.,Java experience is a must.,Temporarily due to COVID-19.",Java/python Developer
Cleanpro,"Create and maintain , documentation.,Expertise in creation of a net-new WordPress Template that will be custom and used by a single company.",Website Developer
Innovecture,§ 6+ years of development experience in developing enterprise-grade server-side applications with Java as the primary programming language.,Java Backend Engineer
DDC-I,"DDC-I provides , for safety critical embedded , developers including DO-178C DAL A certifiable real-time operating systems, compilers, debuggers,…",Software Developer
SmarterTools,"4+ years of work experience as a , developer, preferably in a lead or management role.,Demonstrate and communicate technical aspects of , products…",Software Developer
Veear Projects,"Java/J2ee: 1 year (Preferred).,DATA MAPPING: 2 years (Required).,OBJECT STUDIO: 1 year (Required).,High school or equivalent (Preferred).",SmartComm Developer
ISSA,"Deep understanding of the client-side ecosystem including HTTP, TLS, web browsers and their quirks, HTML, and CSS.,Strong analytical and problem-solving skills.",Front End Engineer
PHX Freight Logistics,"The ability to design using Elementor, The7, Divi, and more.,To collab with other developers and design a website.,2 years of experience using WordPress.",WordPress Developer
Pricesenz,"5+ years of professional , operations or DevOps experience.,4+ years of professional hands-on , development experience.",DevOps Engineer
Chapman Automotive Group,"Understanding of server-side rendering and its benefits and use cases.,Our positive experience is translated through the relationships we have with each other,…",Front-End Developer
Sciata,"5 years of relational database development experience (required).,Excellent oral and written communication skills and able to effectively interact with both…",Cobol Developer
Cool Minds LLC,"UI technologies (JQuery, React, Angular – any of them), Database, cloud foundry (plus).,Java developer contractor with 7 plus years of experience.",Java Developer
"DuCharme, McMillen & Associates, Inc","Thorough understanding of Java, HTML, JavaScript, Java Server, ASP.net, C#, XML, etc.,Maintain and enhance existing , solutions.",Senior Software Engineer
"StormSource, LLC","Empathy for customers and colleagues.,At least 5 years relevant industry experience.,Strong desire for life-long learning and asking questions.",Full-Stack Software Engineer
The Spartan Capital Group,"LAMP Stack experience: (Linux, Apache, MySQL, PhP).,Amazon Web Services experience (AWS).,Full Stack Development: 3 years (Required).",Full Stack Developer
Cloud Computing Technologies,"Cloud Computing Technologies, a 20-year cloud veteran company and AWS Public Sector Partner, designs architecture and cloud solutions to financial,…",Software Engineer in Chandler Arizona
Covetrus,"Minimum 7 years of experience in object-oriented , design and development.,Minimum 5 years development experience in Java technologies and frameworks.",Senior Software Engineer
Infotree Service Inc,"The position requires a minimum of 5-7 years of industry experience, 1-3 years in , architecture and writing solutions using Java technology skills and…",Web Application Architect/ Web Architect/ Software Engineer
Nucleusteq,"3+years of experience in UI Development, Integration with REST APIs includes HTML 5/CSS 3/JS (React).,Java: 6+years of experience in Annotations, Generics,…",Full Stack Java Engineer
Rain bird Corp.,"Development of virtual cloud systems for centralizing control of multiple irrigation sites located around the world.,NET, ASP.NET MVC, and Windows Forms.",Senior Software Engineer
Optimum Technologies,"Work with operations teams to troubleshoot and resolve issues throughout the life cycle, coordinating , engineers’ activities as required.",Senior Software Engineer
"RevolutionParts, Inc.","Great written and oral communication skills.,Work closely with Sr. and Staff , on creative solutioning.,Some Experience with Linux/Unix.",Software Engineering Intern
SimuLogix,"Vx Works (3-5 years).,Embedded C++: 5 years (Required).,Integration and Test (Aero): 5 years (Required).,Support involves , requirement, algo development…",Software/Hardware Engineer (Aero)
HighPoint Technology Solutions,"Maintain work in kanban style project management, participating in the Agile sprint cycles.,We offer a broad range of automation tools that accelerate campus…",Full Stack Developer
Maricopa County,"Ensure project management methodologies comply with OET and Maricopa County standards; prepares various reports on operations, activities, project schedules and…",Web Designer/Developer Senior/Lead
AeroSpec Inc.,"Minimum of 5 years of mechanical design experience.,Schedule & Goal oriented; able to make and achieve commitments.,Competitive wages, dependent on experience.",Mechanical Design Engineer- Automation Equipment
meltmedia,"Our custom solutions are a polyglot approach that may use client and server-side JavaScript, Java, Python, and PHP, depending on the needs of each project.",Senior Software Engineer
Futron Incorporated,"5 or more years of related , development experience.,Must have SECRET clearance at project start.,Over all understanding of object oriented programming…",Web/Software Developer
Pike Solutions Inc,"Java hands-on ,: Springboot, Microservices, Rest APIs - Java8+, Vert.x, GraphQL, Kafka, Couchbase, Redis, MySQL, MongoDB etc.",Java Developer
Innovecture,"Developing Algorithms and implementing using java language.,Good Architecture skills and well aware of best design practices and , architectures.",Software Developer
CloudPoint Systems inc.,"Good writing/ oral communication skills are necessary to work within the team as well as with clients.,Prior work experience interfacing with Oracle Databases…",Java/J2EE Developer
PurpleDrive Technologies LLC,"Automation experience with Selenium WebDriver using Java, Maven and TestnG.,Integration of the scripts using the BDD framework Cucumber.","Automation Engineer - Selenium Using Java, Mobile automation Appium"
Nucleusteq,"Customer-oriented, diligent, proactive, focused on achieving customer's business objectives as top priority.,Support development teams in technical questions of…",Azure DevOps Engineer
Openforce,"You will be great verbal and written communicator, a tactful diplomat, strong analyst and thorough problem solver.,You have above average skills in SQL.",Full Stack Developer
Kryterion Inc,"The candidate, on a day-to-day basis, will be interacting closely with the rest of the product development team, DevOps, Operations and the QA team as part of…",Software Engineer II
Nucleusteq,"5+ Years of Relevant Experience.,Tech Stack : Java 1.8, Spring Boot, Spring MVC, Angular/React JS, Core Java EE fundamentals, Hibernate/any Object relation…",Java Full Stack Engineer
Modulus,"Requires at least four years of back end , development experience using either C++ or Go.,Experience with micro-services, excellent knowledge of network…",Back End Software Developer
Nucleusteq,"Strong understanding of distributed systems, operating systems, networking, databases, security, and analytics.,Hands on experience on modern JavaScript tools.",API Full Stack Engineer
Vanlo,"5+ years of professional , development experience.,Build new features and products for the Vanlo.,Optimize and build back-end services for performance…",Senior Software Engineer
Hammoq,"Design client-side and server-side architecture.,Design client-side and server-side architecture.,Troubleshoot, debug and upgrade software.",Full Stack Developer
Atlantic Casualty Insurance Company,"This is to include assuring both the project requester and the end-user are aware of project status, open issues, and planned resolutions to open issues.",Software Developer II
Pricesenz,"4+ years of , development experience.,5+ years of , operations or DevOps experience.,1-3 years of , architecture design at medium to large…",Lead Software Engineer / Architect
TruePoint Solutions,"Strong understanding of , development lifecycle and best practices.,Excellent oral and written communication skills.,T-SQL, P-SQL, SQL.",Technical Analyst
Title21 Health Solutions,"The candidate will have 5-10 years of experience in managing , development teams and will be responsible for leading and managing the SDLC to deliver…",Software Engineering Manager
Tecdoors,"Java (or at least minimal exposure to python, Scala, C or C++).,GIT or Source control is a nice to have.,Shell Scripting (bash, korn shell).",Java Developer
Zenaide,"Strong experience in COUPA platform which includes Expense and Procure to Pay modules.,· Experience in configuration and maintenance of Chart of Accounts,…",Sr. Software Engineer - Coupa
Cleveland Electric Labs,"Eagle or KiCad circuit layout , experience.,Solid English oral and written communication skills.,SolidWorks or other CAD/3D modeling , experience.",Engineering Intern
Terascope,"Build , frameworks that are maintainable, flexible and scaleable.,Terascope provides , and technical services to assist companies deploying…",Senior Software Engineer
Blanks Financial Solutions,"Work closely with other , on a small development team launching features.,We are looking for a Full Stack Developer Intern who is eager to gain…",WEB DEVELOPER INTERN
